id_site_dep;id_site_dest;timest;type_donnee;est_cookie;est_visite;est_httpsecure;url_profondeur;req_profondeur;prefixe_dep;prefixe_dest;methode_html;reponse;no_cache;id_date;id_navigateur
google.fr;google.fr;1,44E+12;text/html;true;true;true;1;0;www.;www.;GET;204;true;20151012;1
google.fr;google.com;1,44E+12;application/json;true;false;true;1;0;www.;plus.;POST;200;false;20151012;1
google.fr;google.fr;1,44E+12;text/html;true;true;true;1;0;www.;www.;GET;200;false;20151012;1
google.fr;convertcsv.com;1,44E+12;text/html;false;false;false;1;0;www.;www.;GET;200;true;20151012;1
convertcsv.com;convertcsv.com;1,44E+12;application/x-javascript;false;true;false;1;0;www.;www.;GET;200;true;20151012;1
convertcsv.com;convertcsv.com;1,44E+12;application/x-javascript;false;true;false;1;0;www.;www.;GET;200;true;20151012;1
convertcsv.com;convertcsv.com;1,44E+12;application/x-javascript;false;true;false;1;0;www.;www.;GET;200;true;20151012;1
convertcsv.com;convertcsv.com;1,44E+12;application/x-javascript;false;true;false;1;0;www.;www.;GET;200;true;20151012;1
convertcsv.com;convertcsv.com;1,44E+12;application/x-javascript;false;true;false;2;0;www.;www.;GET;200;true;20151012;1
convertcsv.com;convertcsv.com;1,44E+12;application/x-unknown-content-type;false;true;false;1;0;www.;www.;GET;304;true;20151012;1
convertcsv.com;convertcsv.com;1,44E+12;application/x-unknown-content-type;false;true;false;1;0;www.;www.;GET;304;true;20151012;1
convertcsv.com;convertcsv.com;1,44E+12;application/x-unknown-content-type;false;true;false;1;0;www.;www.;GET;304;true;20151012;1
convertcsv.com;convertcsv.com;1,44E+12;application/x-unknown-content-type;false;true;false;1;0;www.;www.;GET;304;true;20151012;1
mystartsearch.com;mystartsearch.com;1,44E+12;text/html;true;true;false;3;0;www.;www.;GET;200;true;20151012;1
mystartsearch.com;goo.mx;1,44E+12;application/x-unknown-content-type;true;false;false;1;0;www.;adplus.;GET;200;true;20151012;1
mystartsearch.com;v9.com;1,44E+12;text/javascript;false;false;false;1;0;www.;ares.;GET;200;true;20151012;1
mystartsearch.com;goo.mx;1,44E+12;text/html;true;false;false;1;0;www.;odin.;GET;200;true;20151012;1
mystartsearch.com;goo.mx;1,44E+12;image/gif;false;false;false;1;0;www.;r.;GET;200;true;20151012;1
mystartsearch.com;goo.mx;1,44E+12;text/html;true;false;false;1;0;www.;odin.;GET;200;true;20151012;1
goo.mx;admtpmp127.com;1,44E+12;application/x-unknown-content-type;false;false;false;1;0;odin.;creative.;GET;304;true;20151012;1
goo.mx;criteo.com;1,44E+12;text/javascript;true;false;false;1;0;odin.;cas.;GET;200;false;20151012;1
mystartsearch.com;goo.mx;1,44E+12;application/x-unknown-content-type;true;false;false;3;0;www.;adplus.;GET;200;true;20151012;1
mystartsearch.com;searchthinks.com;1,44E+12;image/png;false;false;false;1;0;www.;a.;GET;200;true;20151012;1
mystartsearch.com;searchthinks.com;1,44E+12;image/png;false;false;false;1;0;www.;d.;GET;200;true;20151012;1
mystartsearch.com;searchthinks.com;1,44E+12;image/jpeg;false;false;false;1;0;www.;c.;GET;200;true;20151012;1
goo.mx;admtpmp127.com;1,44E+12;text/html;true;false;false;1;0;odin.;s.;GET;200;false;20151012;1
goo.mx;goo.mx;1,44E+12;text/html;true;false;false;1;0;odin.;odin.;GET;200;true;20151012;1
goo.mx;criteo.com;1,44E+12;image/gif;true;false;false;1;0;odin.;cat.fr.eu.;GET;200;false;20151012;1
goo.mx;adform.net;1,44E+12;application/x-unknown-content-type;true;false;false;1;0;odin.;track.;GET;200;true;20151012;1
admtpmp127.com;adpdx.com;1,44E+12;image/gif;false;false;false;1;0;s.;p.;GET;200;true;20151012;1
mystartsearch.com;xingcloud.com;1,44E+12;image/gif;false;false;false;1;0;www.;xa.;GET;200;true;20151012;1
mystartsearch.com;mystartsearch.com;1,44E+12;text/html;true;true;false;2;0;www.;www.;GET;302;true;20151012;1
google.com;google.com;1,44E+12;text/html;true;false;false;1;0;www.;www.;GET;302;true;20151012;1
google.fr;google.fr;1,44E+12;text/html;true;false;false;1;0;www.;www.;GET;302;true;20151012;1
google.fr;google.fr;1,44E+12;text/html;true;false;true;1;0;www.;www.;GET;200;true;20151012;1
google.fr;google.fr;1,44E+12;text/html;true;true;true;1;0;www.;www.;GET;204;true;20151012;1
google.fr;google.fr;1,44E+12;text/html;true;true;true;1;0;www.;www.;GET;204;true;20151012;1
google.fr;google.fr;1,44E+12;text/html;true;true;true;1;0;www.;www.;GET;204;true;20151012;1
google.fr;google.com;1,44E+12;application/json;true;false;true;1;0;www.;plus.;POST;200;false;20151012;1
google.fr;google.fr;1,44E+12;text/html;true;true;true;1;0;www.;www.;GET;200;false;20151012;1
google.fr;lesvirus.fr;1,44E+12;text/html;false;false;false;1;0;www.;;GET;200;true;20151012;1
lesvirus.fr;lesvirus.fr;1,44E+12;text/css;true;true;false;5;0;;;GET;200;true;20151012;1
lesvirus.fr;addthis.com;1,44E+12;application/x-unknown-content-type;true;false;false;2;0;;s7.;GET;304;true;20151012;1
lesvirus.fr;lesvirus.fr;1,44E+12;text/css;true;true;false;4;0;;;GET;200;true;20151012;1
lesvirus.fr;lesvirus.fr;1,44E+12;application/javascript;true;true;false;5;0;;;GET;200;true;20151012;1
lesvirus.fr;lesvirus.fr;1,44E+12;application/javascript;true;true;false;4;0;;;GET;200;true;20151012;1
lesvirus.fr;lesvirus.fr;1,44E+12;text/css;true;true;false;3;0;;;GET;200;true;20151012;1
lesvirus.fr;lesvirus.fr;1,44E+12;application/javascript;true;true;false;6;0;;;GET;200;true;20151012;1
lesvirus.fr;lesvirus.fr;1,44E+12;application/javascript;true;true;false;6;0;;;GET;200;true;20151012;1
lesvirus.fr;lesvirus.fr;1,44E+12;application/javascript;true;true;false;6;0;;;GET;200;true;20151012;1
lesvirus.fr;lesvirus.fr;1,44E+12;application/javascript;true;true;false;6;0;;;GET;200;true;20151012;1
