id_site_dep;id_site_dest;timest;type_donnee;est_cookie;est_visite;est_httpsecure;url_profondeur;req_profondeur;prefixe_dep;prefixe_dest;methode_html;reponse;no_cache;id_date;id_navigateur
google.com;google.com;1,44E+12;text/html;true;false;true;1;0;www.;www.;GET;302;true;20151010;1
google.fr;google.fr;1,44E+12;text/html;true;false;true;1;0;www.;www.;GET;200;true;20151010;1
google.fr;google.fr;1,44E+12;text/html;true;true;true;1;0;www.;www.;GET;204;true;20151010;1
google.fr;google.com;1,44E+12;application/json;true;false;true;1;0;www.;plus.;POST;200;false;20151010;1
google.fr;google.fr;1,44E+12;text/html;true;true;true;1;0;www.;www.;GET;200;false;20151010;1
convertcsv.com;convertcsv.com;1,44E+12;application/x-javascript;false;true;false;1;0;www.;www.;GET;200;true;20151010;1
convertcsv.com;convertcsv.com;1,44E+12;application/x-javascript;false;true;false;1;0;www.;www.;GET;200;true;20151010;1
convertcsv.com;convertcsv.com;1,44E+12;application/x-javascript;false;true;false;1;0;www.;www.;GET;200;true;20151010;1
convertcsv.com;convertcsv.com;1,44E+12;application/x-javascript;false;true;false;2;0;www.;www.;GET;200;true;20151010;1
convertcsv.com;convertcsv.com;1,44E+12;application/x-javascript;false;true;false;1;0;www.;www.;GET;200;true;20151010;1
google.com;google.com;1,44E+12;text/html;true;false;true;1;0;www.;www.;GET;302;true;20151010;1
google.fr;google.fr;1,44E+12;text/html;true;false;true;1;0;www.;www.;GET;200;true;20151010;1
google.fr;google.fr;1,44E+12;text/html;true;true;true;1;0;www.;www.;GET;204;true;20151010;1
google.fr;google.com;1,44E+12;application/json;true;false;true;1;0;www.;plus.;POST;200;false;20151010;1
google.fr;google.fr;1,44E+12;text/html;true;true;true;1;0;www.;www.;GET;200;false;20151010;1
facebook.com;akamaihd.net;1,44E+12;image/png;false;false;true;5;0;www.;fbstatic-a.;GET;200;true;20151010;1
zone-telechargement.com;zone-telechargement.com;1,44E+12;text/html;true;false;false;3;0;www.;www.;GET;200;false;20151010;1
zone-telechargement.com;oopt.fr;1,44E+12;application/javascript;false;false;false;3;0;www.;regie.;GET;200;true;20151010;1
dl-protect.com;dl-protect.com;1,44E+12;text/html;true;true;false;1;0;www.;www.;GET;200;false;20151010;1
dl-protect.com;fonts.googleapis.com;1,44E+12;text/css;false;false;false;1;0;www.;;GET;200;true;20151010;1
dl-protect.com;dl-protect.com;1,44E+12;text/html;true;true;false;1;0;www.;www.;GET;200;false;20151010;1
dl-protect.com;dl-protect.com;1,44E+12;text/html;true;true;false;1;0;www.;www.;POST;200;false;20151010;1
alldebrid.fr;alldebrid.fr;1,44E+12;text/html;true;false;false;2;0;www.;www.;GET;200;true;20151010;1
alldebrid.fr;alldebrid.com;1,44E+12;application/x-unknown-content-type;true;false;false;2;0;www.;www.;GET;304;true;20151010;1
alldebrid.fr;facebook.com;1,44E+12;text/html;true;false;true;2;0;www.;www.;GET;200;false;20151010;1
alldebrid.fr;alldebrid.com;1,44E+12;text/html;true;false;false;2;0;www.;stats.;GET;400;true;20151010;1
alldebrid.fr;alldebrid.fr;1,44E+12;application/x-unknown-content-type;true;true;false;4;0;www.;www.;GET;304;true;20151010;1
alldebrid.fr;alldebrid.fr;1,44E+12;text/html;true;false;false;2;0;www.;www.;GET;200;true;20151010;1
alldebrid.fr;alldebrid.fr;1,44E+12;image/png;true;true;false;4;0;www.;www.;GET;200;true;20151010;1
mozilla.org;mozilla.org;1,44E+12;text/html;true;true;false;1;0;www.;www.;GET;301;true;20151010;1
mozilla.org;mozilla.org;1,44E+12;text/html;true;true;true;1;0;www.;www.;GET;301;true;20151010;1
mozilla.org;mozilla.org;1,44E+12;text/html;true;true;true;2;0;www.;www.;GET;301;true;20151010;1
mozilla.org;mozilla.org;1,44E+12;text/html;true;true;true;3;0;www.;www.;GET;200;true;20151010;1
mozilla.org;mozilla.net;1,44E+12;text/css;true;false;true;3;0;www.;mozorg.cdn.;GET;200;true;20151010;1
mozilla.org;mozilla.net;1,44E+12;text/css;true;false;true;3;0;www.;mozorg.cdn.;GET;200;true;20151010;1
mozilla.org;mozilla.net;1,44E+12;text/javascript;true;false;true;3;0;www.;mozorg.cdn.;GET;200;true;20151010;1
mozilla.org;mozilla.net;1,44E+12;text/javascript;true;false;true;3;0;www.;mozorg.cdn.;GET;200;true;20151010;1
mozilla.org;mozilla.net;1,44E+12;image/png;true;false;true;3;0;www.;mozorg.cdn.;GET;200;true;20151010;1
mozilla.org;mozilla.net;1,44E+12;image/png;true;false;true;3;0;www.;mozorg.cdn.;GET;200;true;20151010;1
mozilla.org;mozilla.net;1,44E+12;image/png;true;false;true;3;0;www.;mozorg.cdn.;GET;200;true;20151010;1
mozilla.org;mozilla.net;1,44E+12;image/png;true;false;true;3;0;www.;mozorg.cdn.;GET;200;true;20151010;1
mozilla.org;mozilla.net;1,44E+12;image/png;true;false;true;3;0;www.;mozorg.cdn.;GET;200;true;20151010;1
mozilla.org;mozilla.net;1,44E+12;image/png;true;false;true;3;0;www.;mozorg.cdn.;GET;200;true;20151010;1
mozilla.org;mozilla.net;1,44E+12;image/png;true;false;true;3;0;www.;mozorg.cdn.;GET;200;true;20151010;1
mozilla.net;mozilla.net;1,44E+12;image/png;true;false;true;3;0;mozorg.cdn.;mozorg.cdn.;GET;200;true;20151010;1
mozilla.net;mozilla.net;1,44E+12;image/png;true;false;true;3;0;mozorg.cdn.;mozorg.cdn.;GET;200;true;20151010;1
mozilla.net;mozilla.net;1,44E+12;image/png;true;false;true;3;0;mozorg.cdn.;mozorg.cdn.;GET;200;true;20151010;1
mozilla.net;mozilla.net;1,44E+12;image/png;true;false;true;3;0;mozorg.cdn.;mozorg.cdn.;GET;200;true;20151010;1
mozilla.net;mozilla.net;1,44E+12;image/png;true;false;true;3;0;mozorg.cdn.;mozorg.cdn.;GET;200;true;20151010;1
mozilla.net;mozilla.net;1,44E+12;application/octet-stream;false;false;true;3;0;mozorg.cdn.;mozorg.cdn.;GET;200;true;20151010;1
mozilla.org;googletagmanager.com;1,44E+12;application/javascript;false;false;true;3;0;www.;www.;GET;200;true;20151010;1
mozilla.org;mozilla.net;1,44E+12;image/png;true;false;true;3;0;www.;mozorg.cdn.;GET;200;true;20151010;1
mozilla.net;mozilla.net;1,44E+12;application/octet-stream;false;false;true;3;0;mozorg.cdn.;mozorg.cdn.;GET;200;true;20151010;1
mozilla.org;mozilla.net;1,44E+12;image/png;true;false;true;3;0;www.;mozorg.cdn.;GET;200;true;20151010;1
mozilla.org;google-analytics.com;1,44E+12;text/javascript;false;false;true;3;0;www.;www.;GET;200;true;20151010;1
mozilla.org;mozilla.net;1,44E+12;image/png;true;false;true;3;0;www.;mozorg.cdn.;GET;200;true;20151010;1
mozilla.org;google-analytics.com;1,44E+12;text/html;false;false;true;3;0;www.;www.;GET;302;false;20151010;1
mozilla.net;mozilla.net;1,44E+12;application/octet-stream;false;false;true;3;0;mozorg.cdn.;mozorg.cdn.;GET;200;true;20151010;1
mozilla.org;doubleclick.net;1,44E+12;image/gif;true;false;true;3;0;www.;stats.g.;GET;200;false;20151010;1
mozilla.net;mozilla.net;1,44E+12;text/html;false;false;true;11;0;snippets.cdn.;snippets.cdn.;GET;302;true;20151010;1
google.com;google.com;1,44E+12;text/html;true;false;true;1;0;www.;www.;GET;302;true;20151010;1
google.fr;google.fr;1,44E+12;text/html;true;false;true;1;0;www.;www.;GET;200;true;20151010;1
google.fr;google.fr;1,44E+12;text/javascript;true;true;true;10;0;www.;www.;GET;200;true;20151010;1
google.fr;google.fr;1,44E+12;text/javascript;true;true;true;10;0;www.;www.;GET;200;true;20151010;1
google.fr;google.fr;1,44E+12;text/html;true;true;true;1;0;www.;www.;GET;204;true;20151010;1
google.fr;google.com;1,44E+12;application/json;true;false;true;1;0;www.;plus.;POST;200;false;20151010;1
google.fr;google.com;1,44E+12;text/html;true;false;true;1;0;www.;plus.;GET;200;true;20151010;1
google.fr;google.fr;1,44E+12;text/html;true;true;true;1;0;www.;www.;GET;200;true;20151010;1
google.fr;gstatic.com;1,44E+12;image/jpeg;false;false;true;1;0;www.;encrypted-tbn3.;GET;200;true;20151010;1
google.fr;gstatic.com;1,44E+12;image/jpeg;false;false;true;1;0;www.;encrypted-tbn3.;GET;200;true;20151010;1
google.fr;gstatic.com;1,44E+12;image/jpeg;false;false;true;1;0;www.;encrypted-tbn3.;GET;200;true;20151010;1
google.fr;gstatic.com;1,44E+12;image/jpeg;false;false;true;1;0;www.;encrypted-tbn0.;GET;200;true;20151010;1
google.fr;gstatic.com;1,44E+12;image/jpeg;false;false;true;1;0;www.;encrypted-tbn1.;GET;200;true;20151010;1
google.fr;gstatic.com;1,44E+12;image/jpeg;false;false;true;1;0;www.;encrypted-tbn3.;GET;200;true;20151010;1
google.fr;gstatic.com;1,44E+12;image/jpeg;false;false;true;1;0;www.;encrypted-tbn3.;GET;200;true;20151010;1
google.fr;gstatic.com;1,44E+12;image/jpeg;false;false;true;1;0;www.;encrypted-tbn1.;GET;200;true;20151010;1
google.fr;gstatic.com;1,44E+12;image/jpeg;false;false;true;1;0;www.;encrypted-tbn3.;GET;200;true;20151010;1
google.fr;gstatic.com;1,44E+12;image/jpeg;false;false;true;1;0;www.;encrypted-tbn0.;GET;200;true;20151010;1
google.fr;gstatic.com;1,44E+12;image/jpeg;false;false;true;1;0;www.;encrypted-tbn3.;GET;200;true;20151010;1
google.fr;google.fr;1,44E+12;text/html;true;true;true;1;0;www.;www.;GET;204;true;20151010;1
google.fr;gstatic.com;1,44E+12;image/jpeg;false;false;true;1;0;www.;encrypted-tbn1.;GET;200;true;20151010;1
google.fr;gstatic.com;1,44E+12;image/jpeg;false;false;true;1;0;www.;encrypted-tbn1.;GET;200;true;20151010;1
google.fr;gstatic.com;1,44E+12;image/jpeg;false;false;true;1;0;www.;encrypted-tbn3.;GET;200;true;20151010;1
google.fr;gstatic.com;1,44E+12;image/jpeg;false;false;true;1;0;www.;encrypted-tbn1.;GET;200;true;20151010;1
google.fr;gstatic.com;1,44E+12;image/jpeg;false;false;true;1;0;www.;encrypted-tbn0.;GET;200;true;20151010;1
google.fr;gstatic.com;1,44E+12;image/jpeg;false;false;true;1;0;www.;encrypted-tbn0.;GET;200;true;20151010;1
google.fr;gstatic.com;1,44E+12;image/jpeg;false;false;true;1;0;www.;encrypted-tbn1.;GET;200;true;20151010;1
google.fr;gstatic.com;1,44E+12;image/jpeg;false;false;true;1;0;www.;encrypted-tbn0.;GET;200;true;20151010;1
google.fr;google.fr;1,44E+12;text/html;true;true;true;1;0;www.;www.;GET;204;true;20151010;1
google.fr;gstatic.com;1,44E+12;image/jpeg;false;false;true;1;0;www.;encrypted-tbn2.;GET;200;true;20151010;1
google.fr;gstatic.com;1,44E+12;image/jpeg;false;false;true;1;0;www.;encrypted-tbn2.;GET;200;true;20151010;1
google.fr;gstatic.com;1,44E+12;image/jpeg;false;false;true;1;0;www.;encrypted-tbn2.;GET;200;true;20151010;1
google.fr;gstatic.com;1,44E+12;image/jpeg;false;false;true;1;0;www.;encrypted-tbn2.;GET;200;true;20151010;1
google.fr;google.fr;1,44E+12;text/javascript;true;true;true;10;0;www.;www.;GET;200;true;20151010;1
google.fr;gstatic.com;1,44E+12;text/javascript;false;false;true;1;0;www.;www.;GET;200;true;20151010;1
google.fr;gstatic.com;1,44E+12;image/jpeg;false;false;true;1;0;www.;encrypted-tbn2.;GET;200;true;20151010;1
google.fr;gstatic.com;1,44E+12;image/jpeg;false;false;true;1;0;www.;encrypted-tbn2.;GET;200;true;20151010;1
google.fr;gstatic.com;1,44E+12;image/jpeg;false;false;true;1;0;www.;encrypted-tbn2.;GET;200;true;20151010;1
google.fr;gstatic.com;1,44E+12;image/jpeg;false;false;true;1;0;www.;encrypted-tbn0.;GET;200;true;20151010;1
google.fr;gstatic.com;1,44E+12;image/jpeg;false;false;true;1;0;www.;encrypted-tbn0.;GET;200;true;20151010;1
google.fr;gstatic.com;1,44E+12;image/jpeg;false;false;true;1;0;www.;encrypted-tbn2.;GET;200;true;20151010;1
google.fr;gstatic.com;1,44E+12;image/jpeg;false;false;true;1;0;www.;encrypted-tbn1.;GET;200;true;20151010;1
google.fr;gstatic.com;1,44E+12;image/jpeg;false;false;true;1;0;www.;encrypted-tbn3.;GET;200;true;20151010;1
google.fr;gstatic.com;1,44E+12;image/jpeg;false;false;true;1;0;www.;encrypted-tbn0.;GET;200;true;20151010;1
google.fr;gstatic.com;1,44E+12;image/jpeg;false;false;true;1;0;www.;encrypted-tbn2.;GET;200;true;20151010;1
google.fr;gstatic.com;1,44E+12;image/jpeg;false;false;true;1;0;www.;encrypted-tbn1.;GET;200;true;20151010;1
google.fr;gstatic.com;1,44E+12;image/jpeg;false;false;true;1;0;www.;encrypted-tbn0.;GET;200;true;20151010;1
google.fr;gstatic.com;1,44E+12;image/jpeg;false;false;true;1;0;www.;encrypted-tbn2.;GET;200;true;20151010;1
google.fr;gstatic.com;1,44E+12;image/jpeg;false;false;true;1;0;www.;encrypted-tbn2.;GET;200;true;20151010;1
google.fr;gstatic.com;1,44E+12;image/jpeg;false;false;true;1;0;www.;encrypted-tbn2.;GET;200;true;20151010;1
google.fr;gstatic.com;1,44E+12;image/jpeg;false;false;true;1;0;www.;encrypted-tbn0.;GET;200;true;20151010;1
google.fr;gstatic.com;1,44E+12;image/jpeg;false;false;true;1;0;www.;encrypted-tbn1.;GET;200;true;20151010;1
google.fr;gstatic.com;1,44E+12;image/jpeg;false;false;true;1;0;www.;encrypted-tbn3.;GET;200;true;20151010;1
google.fr;gstatic.com;1,44E+12;image/jpeg;false;false;true;1;0;www.;encrypted-tbn2.;GET;200;true;20151010;1
google.fr;gstatic.com;1,44E+12;image/jpeg;false;false;true;1;0;www.;encrypted-tbn1.;GET;200;true;20151010;1
google.fr;gstatic.com;1,44E+12;image/jpeg;false;false;true;1;0;www.;encrypted-tbn1.;GET;200;true;20151010;1
google.fr;gstatic.com;1,44E+12;image/jpeg;false;false;true;1;0;www.;encrypted-tbn2.;GET;200;true;20151010;1
google.fr;gstatic.com;1,44E+12;image/jpeg;false;false;true;1;0;www.;encrypted-tbn3.;GET;200;true;20151010;1
google.fr;gstatic.com;1,44E+12;image/jpeg;false;false;true;1;0;www.;encrypted-tbn1.;GET;200;true;20151010;1
google.fr;gstatic.com;1,44E+12;image/jpeg;false;false;true;1;0;www.;encrypted-tbn1.;GET;200;true;20151010;1
google.fr;gstatic.com;1,44E+12;image/jpeg;false;false;true;1;0;www.;encrypted-tbn1.;GET;200;true;20151010;1
google.fr;gstatic.com;1,44E+12;image/jpeg;false;false;true;1;0;www.;encrypted-tbn1.;GET;200;true;20151010;1
google.fr;gstatic.com;1,44E+12;image/jpeg;false;false;true;1;0;www.;encrypted-tbn1.;GET;200;true;20151010;1
google.fr;gstatic.com;1,44E+12;image/jpeg;false;false;true;1;0;www.;encrypted-tbn0.;GET;200;true;20151010;1
google.fr;gstatic.com;1,44E+12;image/jpeg;false;false;true;1;0;www.;encrypted-tbn0.;GET;200;true;20151010;1
google.fr;gstatic.com;1,44E+12;image/jpeg;false;false;true;1;0;www.;encrypted-tbn3.;GET;200;true;20151010;1
google.fr;gstatic.com;1,44E+12;image/jpeg;false;false;true;1;0;www.;encrypted-tbn0.;GET;200;true;20151010;1
google.fr;gstatic.com;1,44E+12;image/jpeg;false;false;true;1;0;www.;encrypted-tbn0.;GET;200;true;20151010;1
google.fr;gstatic.com;1,44E+12;image/jpeg;false;false;true;1;0;www.;encrypted-tbn0.;GET;200;true;20151010;1
google.fr;gstatic.com;1,44E+12;image/jpeg;false;false;true;1;0;www.;encrypted-tbn3.;GET;200;true;20151010;1
google.fr;gstatic.com;1,44E+12;image/jpeg;false;false;true;1;0;www.;encrypted-tbn0.;GET;200;true;20151010;1
google.fr;gstatic.com;1,44E+12;image/jpeg;false;false;true;1;0;www.;encrypted-tbn1.;GET;200;true;20151010;1
google.fr;gstatic.com;1,44E+12;image/jpeg;false;false;true;1;0;www.;encrypted-tbn3.;GET;200;true;20151010;1
google.fr;gstatic.com;1,44E+12;image/jpeg;false;false;true;1;0;www.;encrypted-tbn1.;GET;200;true;20151010;1
google.fr;gstatic.com;1,44E+12;image/jpeg;false;false;true;1;0;www.;encrypted-tbn0.;GET;200;true;20151010;1
