id_site_dep;id_site_dest;timest;type_donnee;est_cookie;est_visite;est_httpsecure;url_profondeur;req_profondeur;prefixe_dep;prefixe_dest;methode_html;reponse;no_cache;id_date;id_navigateur
google.fr;google.fr;1,44E+12;text/html;true;true;true;1;0;www.;www.;GET;200;false;20151015;1
google.fr;merteo.fr;1,44E+12;text/html;true;false;false;1;0;www.;www.;GET;200;true;20151015;1
merteo.fr;merteo.fr;1,44E+12;text/css;true;true;false;4;0;www.;www.;GET;200;true;20151015;1
merteo.fr;merteo.fr;1,44E+12;text/plain;true;true;false;3;0;www.;www.;GET;200;true;20151015;1
merteo.fr;maps.googleapis.com;1,44E+12;text/javascript;false;false;true;1;0;www.;;GET;200;true;20151015;1
merteo.fr;maps.googleapis.com;1,44E+12;text/javascript;false;false;true;1;0;www.;;GET;200;true;20151015;1
merteo.fr;highcharts.com;1,44E+12;application/x-unknown-content-type;true;false;false;1;0;www.;code.;GET;304;true;20151015;1
merteo.fr;highcharts.com;1,44E+12;application/x-unknown-content-type;true;false;false;1;0;www.;code.;GET;304;true;20151015;1
merteo.fr;merteo.fr;1,44E+12;text/html;true;true;false;3;0;www.;www.;GET;200;true;20151015;1
merteo.fr;gstatic.com;1,44E+12;image/gif;false;false;true;1;0;www.;csi.;GET;204;false;20151015;1
merteo.fr;gstatic.com;1,44E+12;image/gif;false;false;true;1;0;www.;csi.;GET;204;false;20151015;1
merteo.fr;maps.googleapis.com;1,44E+12;text/javascript;false;false;true;1;0;www.;;GET;200;true;20151015;1
merteo.fr;maps.googleapis.com;1,44E+12;text/javascript;false;false;true;1;0;www.;;GET;200;true;20151015;1
merteo.fr;wxtiles.com;1,44E+12;application/json;false;false;false;1;0;www.;www.;GET;200;true;20151015;1
merteo.fr;google-analytics.com;1,44E+12;application/x-unknown-content-type;false;false;false;1;0;www.;www.;GET;304;true;20151015;1
merteo.fr;maps.googleapis.com;1,44E+12;text/javascript;false;false;true;1;0;www.;;GET;200;true;20151015;1
merteo.fr;maps.googleapis.com;1,44E+12;text/javascript;false;false;true;1;0;www.;;GET;200;true;20151015;1
merteo.fr;gstatic.com;1,44E+12;image/gif;false;false;true;1;0;www.;csi.;GET;204;false;20151015;1
merteo.fr;maps.googleapis.com;1,44E+12;text/javascript;false;false;true;1;0;www.;;GET;200;true;20151015;1
merteo.fr;maps.googleapis.com;1,44E+12;text/javascript;false;false;true;1;0;www.;;GET;200;true;20151015;1
merteo.fr;google-analytics.com;1,44E+12;text/html;false;false;false;1;0;www.;www.;GET;302;false;20151015;1
merteo.fr;maps.googleapis.com;1,44E+12;text/javascript;false;false;true;1;0;www.;;GET;200;false;20151015;1
merteo.fr;maps.googleapis.com;1,44E+12;image/gif;false;false;true;1;0;www.;;GET;204;false;20151015;1
merteo.fr;facebook.net;1,44E+12;application/x-javascript;false;false;true;1;0;www.;connect.;GET;200;true;20151015;1
merteo.fr;gstatic.com;1,44E+12;image/gif;false;false;true;1;0;www.;csi.;GET;204;false;20151015;1
merteo.fr;metoceanview.com;1,44E+12;image/png;true;false;false;1;0;www.;tiles.;GET;200;true;20151015;1
merteo.fr;metoceanview.com;1,44E+12;image/png;true;false;false;1;0;www.;tiles.;GET;200;true;20151015;1
