id_site_dep;id_site_dest;timest;type_donnee;est_cookie;est_visite;est_httpsecure;url_profondeur;req_profondeur;prefixe_dep;prefixe_dest;methode_html;reponse;no_cache;id_date;id_navigateur
google.com;google.com;1,44E+12;text/html;true;true;true;1;0;www.;www.;GET;302;true;20151016;1
google.fr;google.fr;1,44E+12;text/html;true;true;true;1;0;www.;www.;GET;200;true;20151016;1
google.fr;google.fr;1,44E+12;image/png;true;true;true;3;0;www.;www.;GET;200;true;20151016;1
google.fr;google.fr;1,44E+12;text/html;true;true;true;1;0;www.;www.;GET;204;true;20151016;1
google.fr;google.fr;1,44E+12;image/png;true;true;true;3;0;www.;www.;GET;200;true;20151016;1
google.fr;google.fr;1,44E+12;application/x-unknown-content-type;true;true;true;1;0;www.;www.;GET;204;true;20151016;1
google.fr;google.fr;1,44E+12;text/html;true;true;true;1;0;www.;www.;GET;204;true;20151016;1
google.fr;google.com;1,44E+12;application/json;true;false;true;1;0;www.;plus.;POST;200;false;20151016;1
google.fr;google.fr;1,44E+12;text/html;true;true;true;1;0;www.;www.;GET;200;false;20151016;1
google.fr;univ-nantes.fr;1,44E+12;text/html;true;false;false;1;0;www.;www.;GET;200;true;20151016;1
univ-nantes.fr;univ-nantes.fr;1,44E+12;application/x-unknown-content-type;true;true;false;4;0;www.;www.;GET;304;true;20151016;1
univ-nantes.fr;univ-nantes.fr;1,44E+12;application/x-unknown-content-type;true;true;false;4;0;www.;www.;GET;304;true;20151016;1
univ-nantes.fr;univ-nantes.fr;1,44E+12;application/x-unknown-content-type;true;true;false;4;0;www.;www.;GET;304;true;20151016;1
univ-nantes.fr;univ-nantes.fr;1,44E+12;application/x-unknown-content-type;true;true;false;4;0;www.;www.;GET;304;true;20151016;1
univ-nantes.fr;univ-nantes.fr;1,44E+12;application/x-unknown-content-type;true;true;false;4;0;www.;www.;GET;304;true;20151016;1
univ-nantes.fr;univ-nantes.fr;1,44E+12;application/x-unknown-content-type;true;true;false;4;0;www.;www.;GET;304;true;20151016;1
univ-nantes.fr;univ-nantes.fr;1,44E+12;application/x-unknown-content-type;true;true;false;4;0;www.;www.;GET;304;true;20151016;1
univ-nantes.fr;univ-nantes.fr;1,44E+12;application/x-unknown-content-type;true;true;false;5;0;www.;www.;GET;304;true;20151016;1
univ-nantes.fr;univ-nantes.fr;1,44E+12;application/x-unknown-content-type;true;true;false;4;0;www.;www.;GET;304;true;20151016;1
univ-nantes.fr;univ-nantes.fr;1,44E+12;application/x-unknown-content-type;true;true;false;3;0;www.;www.;GET;304;true;20151016;1
univ-nantes.fr;univ-nantes.fr;1,44E+12;application/x-unknown-content-type;true;true;false;4;0;www.;www.;GET;304;true;20151016;1
univ-nantes.fr;univ-nantes.fr;1,44E+12;application/x-unknown-content-type;true;true;false;4;0;www.;www.;GET;304;true;20151016;1
univ-nantes.fr;univ-nantes.fr;1,44E+12;image/jpeg;true;true;false;2;0;www.;www.;GET;200;true;20151016;1
univ-nantes.fr;univ-nantes.fr;1,44E+12;image/jpeg;true;true;false;2;0;www.;www.;GET;200;true;20151016;1
