id_date;annee;mois;jour
20151006;2015;10;6
20151007;2015;10;7
20151008;2015;10;8
20151009;2015;10;9
20151010;2015;10;10
20151012;2015;10;12
20151013;2015;10;13
20151014;2015;10;14
20151015;2015;10;15
20151016;2015;10;16
20151103;2015;11;3
